Search,Search Count,Last Search Date
"J:\games\mtg_arena\MTGA\MTGA_Data\ ext:mtga !file:shader !path:assetbundle",1,132741588653613593
"J:\games\mtg_arena\MTGA\MTGA_Data\ ext:mtga !file:shader",1,132741588292134704
"J:\games\mtg_arena\MTGA\MTGA_Data\ ext:mtga ",1,132741588023580723
"J:\games\mtg_arena\MTGA\MTGA_Data\ ext:mtga",1,132741587711049205
"justin g",1,132741355221115268
"ext:ps1;pbix;md;pq dm:last9days me: (file:exception | content:throwterm )",1,132741256004513979
"ext:ps1;pbix;md;pq dm:last9days me: (file:exception | content:exception )",1,132741255851272785
"powershell.jake !skydrive:",1,132741231202020194
"downloads: ( ext:pbix )",1,132740463863325162
"downloads: ext:xlsx",1,132740459871535572
"downloads: ( file:excel ) ext:xlsx",1,132740459439631133
"gedcom dm:last6months",1,132740458165169825
"ext:ps1 dm:last72hours me: file:test",1,132740400119978157
"ext:ps1 dm:last72hours me:",1,132740360604824938
"ext:pbix dm:",1,132739556577068522
"ext:ps1 path:module | path:complete",1,132739462585950955
"ext:ps1 unix time",1,132738105163005090
"dm:last1hours profil",1,132738017175906795
"ext:svg",1,132737857882739214
"ext:pbix html",1,132737229548895332
"""C:\Program Files\WindowsApps\Microsoft.MicrosoftPowerBIDesktop_2.96.701.0_x64__8wekyb3d8bbwe"" tabular",1,132736407618360245
"ext:ps1;pbix dm:last2days !github:",1,132736245542642859
"ext:ps1;pbix dm:last2days !github: ",1,132736245258108117
"ext:ps1 dm:last2days !github: ",1,132736062026865094
"ext:svg;ps1;md ( everything | every | search) !skydrive:",1,132735198816021920
"ext:ps1;md ( everything | every | search)",1,132734679806533821
"ext:pq dm:last2years me: content:accumulate",1,132734542361451443
"ext:code-workspace dev",1,132734487133150373
"ext:pbix;svg;svgz dm:last2months",1,132733628996689952
"!github: !skydrive:               ext:ps1 trace",1,132731836830600607
"!github: !skydrive:               ext:ps1 trace com",1,132731836769230862
"ext:pbix !github: !skydrive:",1,132731791331332450
"ext:pbix !github:",1,132731790917677513
"ext:gif x:\ path:screen",1,132731677965249157
"ext:gif fzf",1,132731676641408468
"ext:jpg ",1,132731645608468119
"ext:gif ( power| Pwsh | PSReadLine )",1,132731036433953049
"dm:last2weeks ext:svg;png dm:last7days !path:steam !path:""epic games"" !path:""epicgameslauncher""",1,132730788041039429
"dm:last2weeks ext:svg;png dm:last7days ",1,132730787483638351
"dm:last2weeks ext:svg;png dm:last7days",1,132730784575442682
"dm:last2weeks ext:svgz",1,132730784382121815
"2021: dm:last1weeks ",1,132730783835182840
"ext:svg dm:today",1,132730773640802239
"(ext:ps1 dm:last3days ) |  (ext:pbix dm:last3days )  me: content:pscmdlet.wr",1,132730258888766191
"(ext:ps1 dm:last3days ) |  (ext:pbix dm:last3days )  me:",1,132730258054680587
"""C:\Users\cppmo_000\Documents\2021\dotfiles\icons\"" ",1,132729289681588781
"ext:png",1,132729231982937979
"""C:\Users\cppmo_000\Documents\2021_"" ext:svg dm:thisyear",1,132728237974888577
"""C:\Users\cppmo_000\Documents\2021\"" ext:png;jpg;gif width:>300",1,132728217886066123
"""C:\Users\cppmo_000\Documents\2021\"" ext:png;jpg;gif",1,132728216811967384
"""C:\Users\cppmo_000\Documents\2021\"" ext:png;jpg",1,132728216483041745
"""C:\Users\cppmo_000\Documents\2020\"" ext:png;jpg",1,132728215022986439
"""C:\Users\cppmo_000\Documents\2020\powershell\"" ",1,132728214706741209
"ext:png;jpg;jpeg ""C:\Users\cppmo_000\Documents\2020\powershell\Nin Lib Experiment"" ( path:ui | path:experiment | path:should |  path:process | path:Whatif | )",1,132728211393476041
"ext:png;jpg;jpeg 2020: ( path:ui | path:experiment | path:should |  path:process | path:Whatif )",1,132728207826388182
"ext:png;ps1;md 2020: ( path:ui | path:experiment | path:should |  path:process | path:Whatif )",1,132728204689580889
"ext:png;ps1;md 2020: ( path:should |  path:process | path:Whatif )",1,132728204129790314
"2020: (should |  process | Whatif )",1,132728201986119138
"spotify dm:last5hours",1,132725751024468569
"c:\windows\prefetch",1,132725749857339134
"spotify",1,132725749329648293
"ext:pbix status",1,132724232295058162
"ext:pbix me: status",1,132724040509923078
"asana ext:pq;md;pbix me:",1,132724003101973207
"asana ext:pq;md",1,132724002766868395
"ext:ged",1,132723425417676620
"me:  ""C:\Users\cppmo_000\Documents\2021\Powershell\My_Github"" path:",1,132723184571844231
"me:",1,132723174448727830
"me: ext:md dm:today",1,132722302289151759
"everything ext:md !path:skydrive",1,132721780334371275
"everything ext:md",1,132721764600046281
"ext:code-workspace asana",1,132721713581150876
"ext:code-workspace path:ww:""SteamLibrary""",1,132721705399714748
"ext:code-workspace every",1,132721704583839965
"%localappdata% dm:last5minutes",1,132721672729382167
"path:spotify %localappdata% dm:last5minutes",1,132721672563419465
"!path:""cache"" !path:spotify %localappdata% dm:last5minutes",1,132721667330467571
"!path:""cache"" !path:spotify path:ww:mozilla %localappdata% dm:last5minutes",1,132721667192609887
"!path:""cache"" path:spotify !path:ww:mozilla %localappdata% dm:last5minutes",1,132721664948381503
"!path:""cache"" !path:ww:mozilla %localappdata% dm:last5minutes",1,132721664693604986
"%localappdata%",1,132721632692630280
"factory game ",1,132721614477517210
"ext:pbix;pq;md;pq  me:",1,132721366621253953
"path:ww:C:\Users\cppmo_000 dm:last3weeks ext:md;ps1",1,132719602073179977
"path:ww:C:\Users\cppmo_000\Documents\2021 dm:last3weeks ext:md;ps1",1,132719601982966262
"dm:last3weeks ext:md;ps1",1,132719601514455050
"ext:ps1 dm:last15days tests",1,132719128245248894
"med history  ext:xlsx",1,132719002692111148
"2021: med hist",1,132719002261998459
"ext:pbix;pq dm:last3days !github: ",1,132718921863985016
