Search,Search Count,Last Search Date
"ext:ps1;xlsx;pbix;code-workspace;dax dm:last30days me: ext:dax",1,133068655576344385
"ext:ps1;xlsx;pbix;code-workspace dm:last30days me: ext:code-workspace ",1,133068616077854045
"ext:ps1;xlsx;pbix dm:last30days me: ext:xlsx path:user path:export",2,133068580327297176
"ext:ps1;xlsx;pbix dm:last30days me: path:bdg",1,133067994005700924
"ext:ps1;xlsx;pbix dm:last3days me:",1,133067990944310541
"ext:ps1;xlsx;pbix dm:last3days me: ext:pbix",1,133067975196664072
"ext:ps1;xlsx dm:last3days me:",1,133067764294119538
"ext:ps1 dm:last3days me:",11,133067763995897920
"ext:pbix;pbit;pq dm:last3months me:",2,133067056638308755
"ext:ps1;xlsx me: dm:last7days path:bdg",2,133067054255808409
"ext:ps1;dm me: input danger",2,133066147485156159
"ext:ps1;ipynb;dib;xlsx;md;pq;pbix;ps1 ext:xlsx dm:last2days",4,133065388893699519
"ext:ps1;ipynb;dib;xlsx;md;pq;pbix;ps1 ext:xlsx dm:last20minutes",5,133065214427716385
"ext:ps1;ipynb;dib;xlsx;md;pq;pbix;ps1 me: path:set me: path:diff",9,133064271102962789
"aws-lambda-powershell-runtime",1,133062720842294767
"ext:ps1;ipynb;dib;xlsx;md;pq;pbix;ps1 me: dm:last3days",4,133060978071293924
"dm:last8minutes ext:log",1,133060285177368994
"dm:last8minutes path:excel",1,133060284077193303
"dm:last3minutes path: ext:log",1,133060281314773506
"dm:last3minutes excel",1,133060281016716519
"dm:last3minutes ",1,133060280950721902
"ext:pq;pbix (path:transformro)",2,133060280538422302
"ext:pq;pbix (path:replac)",2,133060265010115078
"ext:ps1;xlsx;md;pq;pbix;ps1 me: bench ",4,133060113608044471
"path:git path:pr path:note",1,133060113458936497
"ext:ps1 group me: path:nin",4,133060112178009931
"path:git path:issue path:note",1,133060044357998370
"ext:ps1 hash me: (sort | hash) sort",1,133059429637512403
"ext:pbix",1,133059424379775356
"ext:pq;pqm diagnostic",3,133059423683701679
"ext:ps1;xlsx;md;pq;pbix me: ext:pq;pbix",1,133058449700252854
"ext:ps1;xlsx;md ( path:should path:process ) me:",1,133058199938080141
"ext:ps1 me: path:edit path:module path:nin",1,133057620636479458
"ext:ps1 me: dm:last3weeks path:stack",1,133057620135502418
"ext:ps1 me: path:bench",1,133057595264919939
"ext:ps1 me: path:wget",1,133057530594972694
"ext:ps1 me: path:capture path:stream",1,133057517143646880
"ext:png dm:today me:",1,133057480759702609
"ext:ps1;xlsx;md ext:xlsx",1,133057370875394209
"ext:ps1;md ( path:should path:process ) me:",2,133057351787133421
"ext:ps1;md ( path:should path:proc )",1,133056699877000131
"""C:\Users\cppmo_000\Microsoft\Power BI Desktop Store App\Traces"" dm:last3minutes",3,133056699550337442
"ext:pbix;pq me: dm:last3months",1,133056085359474464
"ext:pbix me: dm:last3months",2,133056083906472423
"ext:pbix me: dm:last3months path:fam",2,133056083780712397
"ext:pbix me: dm:last3months ",1,133056079772088873
"ext:pbix;ps1 me: dm:last3months",1,133056077259241554
"( ext:pbix;pbit;pq;csv;ps1;m;xlsx;csv;json;jsonl;log ) ( path:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" )  dm:last3weeks me:",8,133056077118480057
"ext:pbix;pq me: dm:last14days; ",1,133056063569162539
"ext:pq;pbix;pbit;pqm dm:last4weeks diagnos",3,133056043850997081
"ext:pbix;pq me: dm:last14days; usa",1,133056043237595797
"ext:pbix;pq me: dm:last14days;",1,133056038510557251
"ext:pbix me: dm:last14days",1,133056037394879844
"ext:pbix me: dm:last4days",1,133056035143103920
"ext:pbix me:",6,133056034989566639
"ext:ps1;pq;md;pbix;md;json dm:last20hours me:",10,133056033286606151
"ext:ipynb;ps1 (path:class | path:rest | path:json | path: api ) me:",1,133055062806044841
"ext:ps1 (path:class | path:rest | path:json | path: api ) me:",1,133055062553326168
"ext:ps1 (path:class | path:rest | path:json | path: api ) me: ex",1,133055062394357976
"random-colors-using-pansies.ipynb",1,133054993800367552
"ext:pbix;pq;md;csv dm:last3weeks ext:csv",2,133054993772287567
"ext:pbix;pq;md dm:last3weeks me:",1,133054951911092977
"ext:ipynb;sql sql me: ( !dm:last30hours ) ",1,133053430933912667
"ext:ipynb;sql sql me: ( dm:today ) ",1,133053430812719050
"ext:ipynb;sql sql me:",1,133053421825825525
"ext:ipynb sql me:",1,133053421168174877
"ext:xlsx dm:last25minutes",1,133053271999836933
