Search,Search Count,Last Search Date
"ext:ps1 dm:today content:env:psmodule",1,132682867942322526
"path:""dotfiles_git\vscode"" settings",1,132682656009470498
"ext:ps1 completer ",3,132682585831858312
"ext:ps1 validate",1,132681008430140155
"ext:ps1 prop custom",3,132681008210157464
"ext:ps1 ",1,132680872283947041
"ext:ps1 prop sele",1,132680862469106323
"ext:ps1 using scri",1,132680816970728669
"ext:pbix image",5,132680816768384167
"ext:xlsx",3,132679916968989159
"ext:pbix;pq dead",1,132679907568998174
"ext:pbix split",1,132679836570400268
"ext:pbix dax",1,132679092417352099
"ext:pbix Base64",1,132678383588954468
"SamplePSReadLineProfile.ps1",6,132677603759172704
"ext:ps1 event",2,132676039560966763
"ext:pbix dm:thisweek",2,132675628530795207
"(pwsh | powershell)                       (!ext:log;js;css; )",1,132675592696592379
"(pwsh | powershell) ( path:code )                              (!ext:log;js;css; )",1,132675586832739698
"pwsh ( path:code )",1,132675585643926775
"ext:exe pwsh",1,132675585325768415
"ext:png;xcf dm:last2days perf",3,132675585188428155
"ext:pq (rand | gener)",1,132675526028478003
"ext:pbix inline",4,132675511344797560
"ext:png dm:last2days perf",1,132675465328126697
"ext:ps1 code dot",1,132674907772319108
"""X:\2020-data-secondary\screen to gif""           ( |( file:power | file:fzf shell | wt | term |   increment||comple ) ) path:""x:\"" ( !ext:png  ) inc",3,132674907405496534
"""X:\2020-data-secondary\screen to gif""           ( |( file:power | file:fzf shell | wt | term | comple ) ) path:""x:\""",1,132674797209014236
"ext:ps1 validateset",2,132674795967917106
"""X:\2020-data-secondary\screen to gif""           ( |( file:power | file:fzf shell | wt | term | comple ) ) complete",1,132674674029843343
"""X:\2020-data-secondary\screen to gif""           ( | power | shell | wt | term )",1,132674673630059803
"""X:\2020-data-secondary\screen to gif""           ( | )",1,132674673499845958
"""X:\2020-data-secondary\screen to gif""",1,132674673332795224
"""X:\2020-data-secondary\screen to gif"" valid",2,132674665397230063
"""X:\2020-data-secondary\screen to gif"" ",1,132674664649050131
"X:\2020-data-secondary\screen to gif""",1,132674663804174994
"ext:gif ",1,132674663663911992
"ext:json settings path:code path:dotfile",2,132674663543363422
"ext:json settings path:code",1,132674139624158754
"backup path:code ext:json",1,132673942184751910
"path:overwatch",2,132673877991713511
"path:dwarf  ( path:newbie | )",1,132673261213735663
"asana ",2,132673230944739612
"asana | (dad)  ",2,132672930368359142
"asana | (dad)  !( %appdata%  (path:ww:""CachedData"" | path:ww:""CacheStorage"" )  ",1,132672927503752879
"asana | (dad)  ( %appdata%  ""CachedData"" )",1,132672926184658968
"ext:ps1;pbix;pq dm:last5hours",2,132672918905409322
"ext:pbix;pq dm:last5hours",2,132672463150135334
"ext:pbix dm:last5minutes",2,132672457912412219
"""C:\Users\cppmo_000\Documents\2021\Screenshots Dump\"" ",4,132670724576947123
"ext:ps1 dm:yesterday",2,132670376307473533
"""C:\Users\cppmo_000\Documents\2021\Screenshots Dump\Future UX\"" ",3,132669832808505788
"""C:\Users\cppmo_000\Documents\2021\Screenshots Dump\Future UX\2021-02\Format-ColorString 2021-02-02\"" ",3,132669832796299815
"""C:\Users\cppmo_000\Documents\2021\Screenshots Dump\Future UX\2021-06\"" ",1,132669832609762762
"ext:pbix (culture | german)",2,132669714783116803
"ext:pbix path:metadata (path:dump|)                ( !path:""C:\Users\cppmo_000\Documents\2021\Power BI\Buffer\2021-06\globals shared metadata combine"" )",2,132669547406027278
"ext:pbix path:metadata (path:dump|)",1,132669499612686696
"ext:pbix path:metadata ",1,132669498648105352
"ext:ps1 dm:last21minutes",2,132669498297003496
"ext:ps1 dm:last1minutes",1,132668970122483838
"dm:last31days path:ninmonk !path:%localappdata%",1,132668923776208771
"ext:ps1; dm:last3days",2,132668923451194543
"ext:ps1;pq;py;pbi dm:last30days path:buffer",1,132668832972839598
"ext:ps1; dm:last30days",1,132668832753871387
"ext:ps1 dm:last2days",2,132668073478001808
"ext:pbix color",3,132666947232322625
"ext:png;jpg;jpeg path:tartarus",1,132666121974109845
"ext:pbix (path:enter | path:data | path:json )",2,132666121841566532
"(elephant | pbi) ext:png ",4,132666049408971958
"ext:pbix enter",1,132666041667632626
"elephant ext:png",1,132665220424618796
"ext:gif;mp4 netstat",2,132665220359397184
"ext:pbix;pq ( random | path:random )",2,132664448032831290
"ext:pbix;pq (odata |)",6,132664290556622181
