Search,Search Count,Last Search Date
"ext:png;mp3;mp4;mpv4;gif splat",1,132970353261110493
"ext:ps1 set me:",1,132970165672851656
"dm:today",2,132970165521821686
"ext:ps1;md ",1,132970163035018195
"ext:cs path:power path:lib me:",1,132970120761870737
" path:bdg     ",1,132969640448451598
" path:bdg        !pathBackup:       !gitDownloads:",1,132969640363832547
"path:onedrive SyncDiagnostics.log",4,132969639736552620
"everything ext:exe",2,132969639608437005
"ext:odl;odlgz;odlsent;aold path:ww:""c:\""",9,132969634747859350
"ext:txt ObfuscationStringMap                                                                                              ""c:\""",1,132969619759866593
"ext:txt ObfuscationStringMap",1,132969619025310167
"ext:odl;odlgz;odlsent;aold !path:ww:""c:\""",1,132969617634899157
"ext:odl;odlgz;odlsent;aold",1,132969616930062549
"ext:ps1 dm:last3weeks me: alias",1,132969607898222402
"ext:csv;js;xlsx;ps1;md;json;pbix;pq                                                                    path:bdg",7,132969446956158326
"ext:csv;js;xlsx;ps1;md;json;pbix;pq        ext:pbix;pq;md                                                            !path:bdg    ",1,132969446869952117
"ext:ps1;md;json;png path:bug path:pan dm:last1months",3,132969311904069092
"( path:one | path:drive )   ",3,132968804201030461
"ext:pbix calculation",3,132968715076346352
"""H:\root_d_backup2018\Documents\2021\Power BI\Buffer""",2,132968607263261250
"""Financial Sample.xlsx""",1,132968463084040558
"ext:ps1 dm:last2",2,132968442909290728
"ext:ps1 dm:last1months jedi",1,132967775005696199
"ext:xlsx;pbix  ext:docx;csv;js;xlsx;ps1;md;json;pbix;pq                                                                  dm:last30days   ( !path:2022-fam-share |)",3,132967774897784529
"""C:\Users\cppmo_000\SkyDrive\2022-fam-share\""  !path:datamodel",3,132967098359743390
"ext:log path:power path:bi dm:last30minutes",1,132967040460482522
"ext:xlsx;pbix  ext:docx;csv;js;xlsx;ps1;md;json;pbix;pq                                                                  dm:last130days   !path:2022-fam-share                 (path:lib | path:nin| path:console| ) ",1,132967019780226399
"ext:xlsx;pbix  ext:docx;csv;js;xlsx;ps1;md;json;pbix;pq                                                                  dm:last30days   !path:2022-fam-share                 (path:lib | path:nin| path:console| ) ",2,132967018977373964
"""C:\Users\cppmo_000\SkyDrive\2022-fam-share\"" ",1,132967010741686154
"ext:pbix  ext:docx;csv;js;xlsx;ps1;md;json;pbix;pq                                  ",1,132967010330205961
"ext:xlsx  ext:docx;csv;js;xlsx;ps1;md;json;pbix;pq                                  ext:pbix",1,132967010121619837
"ext:xlsx;pbix  ext:docx;csv;js;xlsx;ps1;md;json;pbix;pq                                                                  dm:last30days   !path:2022-fam-share                 (path:lib | path:nin| path:console ) ",1,132966988239862656
"ext:docx;csv;js;xlsx;ps1;md;json;pbix;pq                                                                   ninlib",1,132966986009610711
"ext:xlsx;pbix  ext:docx;csv;js;xlsx;ps1;md;json;pbix;pq                                                                  dm:last30days   !path:2022-fam-share template",1,132966816965015891
"ext:xlsx;pbix  ext:docx;csv;js;xlsx;ps1;md;json;pbix;pq                                                                  dm:last30days   !path:2022-fam-share",1,132966816419167156
"ext:xlsx;pbix  ext:docx;csv;js;xlsx;ps1;md;json;pbix;pq                                                                  dm:last30days   !path:2022-fam-share path:ww:""c:\"" ",1,132966815169031950
"ext:xlsx  ext:docx;csv;js;xlsx;ps1;md;json;pbix;pq                                                                    ( no_venv: noAppData: !path:""bdg\github"" noApps:)  dm:last30days !ext:pbix    !path:2022-fam-share path:ww:""c:\""  path:bdg",3,132966814937869784
"ext:xlsx  ext:csv;js;xlsx;ps1;md;json;pbix;pq                                                                    ( no_venv: noAppData: !path:""bdg\github"" noApps:)  dm:last30days !ext:pbix    !path:2022-fam-share path:ww:""c:\""  path:bdg",1,132966735923716268
"ext:csv;js;xlsx;ps1;md;json;pbix;pq                                                                    ( no_venv: noAppData: !path:""bdg\github"" noApps:)  dm:last30days !ext:pbix    !path:2022-fam-share path:ww:""c:\""  path:bdg",1,132966726779069037
"ext:csv;js;xlsx;ps1;md;json;pbix;pq ( no_venv: noAppData: !path:""bdg\github"" )  dm:last30days !ext:pbix",1,132966724297216782
"ext:pbix;md;log dm:last4days path:code !path:%appdata% !path:ww:.vscode",1,132966719530209372
"ext:pbix;md;log dm:last4days path:code",1,132966719339918132
"ext:pbix;md;log dm:last2days   me: path:report",2,132966718266793648
"ext:pbix dm:last2days ",1,132966672293155006
"ext:pbix dm:last2days",4,132966672260070176
"ext:log dm:last5minutes",3,132966214114243899
"ext:pbit;pbix;ps1;md dm:last70hours  path:pan",6,132966180920591099
"ext:py me: !path:2022 stdin",1,132966180578554099
"ext:log dm:last6minutes path:code",1,132965400545535132
"ext:log dm:last1secs",1,132965398777609750
"ext:csv;js;xlsx;ps1;md;json;pbix;pq ( no_venv: noAppData: !path:""bdg\github"" )  dm:last10days !ext:pbix;json find",1,132964982959014602
"ext:csv;js;xlsx;ps1;md;json;pbix;pq ( no_venv: noAppData: !path:""bdg\github"" )  dm:last10days !ext:js;log;json ext:xlsx;ps1;pq;pbix",4,132964974225310607
