Search,Search Count,Last Search Date
"ext:ps1;yml;yaml;toml dm:last200hours   !path:ww:temp_dump !path:""gitlogger"" !path:%userprofile%   !path:""g:\2023"" !path:ww:""g:\temp""    !path:""c:\program files""  !path:path:""dotfiles.2023"" !path:""gitlogger""    !path:""h:\data\2023\pwsh\refs""  path:invoke",1,133233933982288312
"ext:ps1;yml;yaml;toml dm:last2weeks   !path:ww:temp_dump !path:""gitlogger"" !path:%userprofile%   !path:""g:\2023"" !path:ww:""g:\temp""    !path:""c:\program files""  !path:path:""dotfiles.2023"" !path:""gitlogger""    !path:""h:\data\2023\pwsh\refs""",2,133233933221791121
"ext:ps1;yml;yaml;toml dm:last2weeks   !path:ww:temp_dump !path:""gitlogger"" !path:%userprofile%   !path:""g:\2023"" !path:ww:""g:\temp""    !path:""c:\program files""  !path:path:""dotfiles.2023"" !path:""gitlogger""O",1,133233932135075128
"ext:ps1;yml;yaml;toml dm:last2weeks   !path:ww:temp_dump !path:""gitlogger""",1,133233930714290656
"ext:ps1;yml;yaml;toml dm:last2weeks   !path:ww:temp_dump",1,133233929789980528
"ext:ps1;yml;yaml;toml dm:last2weeks",1,133233929238064898
"dm:last2weeks ext:code-workspace;pbit",2,133233741190885847
"dm:last2weeks ext:code-workspace",4,133233231976072991
"dm:last2weeks ext:pbix",1,133232839815811446
"ext:xlsx jumpcloud_changes",2,133232048250254385
"ext:ps1 dm:last1years path:powershell me: content:short",1,133232018973451594
"ext:pbix;pbit dm:last20hours",3,133231958698347682
"ext:pbix dm:last20hours",1,133231527607234790
"dm:last3minutes    ",2,133231526307532086
"dm:last3minutes",1,133231455788828955
"path:firefox dm:last20minutes",1,133231436423462226
"ext:md;log;ps1 dm:last30hours ",1,133231435590959452
"ext:ps1 dm:last30hours ",2,133231286013888368
"ext:ps1 dm:last12hours  ",1,133230696317867041
"""PwshGitLoggerTestRuntimeLayer""",1,133230692780575142
"ext:log  dm:last39hours  path:""*report*""",2,133230691157778024
" ( dm:last2minutes )",1,133230511153113222
"ext:png dm:last48hours ",1,133230486884082859
"ext:png dm:last28hours me:",1,133230485883783488
"dm:last24hours ext:toml;yml content:GitLogger",1,133230471457846393
"ext:md;ps1 dm:last336hours ( "".ps.md"" | "".ps.ps1"" )   size:>0",1,133229830058782669
"ext:md;ps1 dm:last336hours ( "".ps.md"" | "".ps.ps1"" )",1,133229828146084931
"ext:md dm:last36hours",1,133229824890949762
"ext:ps1;md;ipynb dm:last6hours",1,133229802906301137
"ext:xlsx;log dm:last2hours size:>0         path:board",2,133229560356184319
